# MEAN_SAMPLE_SIZE = 42038
# TOTAL_GENES = 18669
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_sulfu...          SET      11     -0.11402   -0.0027669      0.24582      0.67862 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      41     0.077685    0.0036366      0.12378      0.26514 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      69    -0.098525   -0.0059789      0.13447      0.76813 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      69     -0.15789   -0.0095814      0.13449      0.87979 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      51   0.00074846   3.9067e-05      0.14764      0.49798 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      22    -0.048402   -0.0016606       0.1876       0.6018 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      43    -0.053184   -0.0025495      0.14826      0.64009 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      81      0.10117    0.0066497     0.086059      0.11989 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      55      0.26188     0.014193       0.1174     0.012861 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      29      0.24679    0.0097195      0.14622     0.045733 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      31     0.020242   0.00082418       0.1667      0.45168 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34     -0.23293   -0.0099317      0.13721       0.9552 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     120     0.025751    0.0020579      0.07509      0.36583 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      47      0.18513    0.0092777      0.13766      0.08934 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23     0.039714    0.0013931      0.18168      0.41349 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      67    -0.088769   -0.0053085      0.10412      0.80305 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32      0.18177    0.0075195      0.14878       0.1109 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      41     0.049284    0.0023071      0.12709      0.34909 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22     -0.17048   -0.0058488      0.19062      0.81442 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28    0.0030417   0.00011771      0.14937      0.49188 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13     -0.12758   -0.0033654      0.23456      0.70674 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     253     0.057832    0.0066868      0.05573      0.14971 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      86     0.028553    0.0019335      0.10075      0.38844 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     167     0.035367    0.0033301     0.071464      0.31034 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     244    -0.022903   -0.0026012     0.063559       0.6407 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
