# MEAN_SAMPLE_SIZE = 54162
# TOTAL_GENES = 18644
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_erbb_...          SET      84      0.19203     0.012861     0.096955     0.023826 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     168     0.038306    0.0036199      0.07281      0.29941 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     247     -0.17703    -0.020241     0.063376      0.99739 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     179    -0.058004   -0.0056563     0.067606      0.80454 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      76     0.066276    0.0042229      0.10134      0.25656 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     250    -0.049336   -0.0056747     0.059891      0.79496 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     119     -0.12342   -0.0098293     0.078411      0.94225 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     106    -0.012906  -0.00097042     0.085258      0.56016 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67    -0.062127   -0.0037177       0.1103      0.71336 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     125    -0.051984   -0.0042423     0.073195      0.76121 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36      -0.1058   -0.0046446      0.14281       0.7706 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      31      0.14703    0.0059905      0.18502      0.21341 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     115    -0.020339   -0.0015925      0.07786      0.60304 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     178      0.08821     0.008578     0.068581     0.099193 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76    -0.021833   -0.0013912     0.090479      0.59534 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      49      0.18368    0.0094045      0.12935     0.077813 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      81    -0.030357   -0.0019966     0.099782      0.61952 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      68      -0.0888   -0.0053532      0.10699      0.79673 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     112      0.12876    0.0099501     0.086364     0.068003 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     142    -0.098026   -0.0085225     0.074705      0.90526 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      24     0.082274    0.0029501      0.18986      0.33238 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      47     -0.15549   -0.0077974      0.12593      0.89153 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      53    0.0018285   9.7357e-05       0.1274      0.49427 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      84     -0.17931    -0.012009     0.096198      0.96883 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     122     0.070861    0.0057135     0.085767      0.20435 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77     0.018455    0.0011836      0.10041      0.42709 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     192      0.14937      0.01508     0.066156     0.011985 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      84     0.058389    0.0039105      0.10228      0.28404 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     124     0.074813    0.0060811     0.086511      0.19359 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      71    -0.047916   -0.0029514      0.11134      0.66653 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     129     0.062851    0.0052101     0.082839      0.22402 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      86    -0.020169   -0.0013667     0.097282      0.58212 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      66     -0.12161   -0.0072227      0.11232      0.86052 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      77      0.12954    0.0083078      0.11237       0.1245 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16      0.26843    0.0078606      0.26937      0.15951 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET      99     0.018422    0.0013389     0.092505      0.42108 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      57     0.027469    0.0015165      0.11403      0.40482 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      65      0.16737    0.0098654      0.10667     0.058331 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      50      0.11243    0.0058145      0.12311      0.18057 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     146    -0.018359   -0.0016183     0.080213      0.59052 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      82      0.13768    0.0091108      0.10421     0.093241 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     128      0.12771     0.010546     0.087419     0.072028 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     104     0.089987    0.0067023     0.085095      0.14515 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      74     0.036193    0.0022757      0.10572      0.36605 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      78      0.22465       0.0145     0.098705     0.011431 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      92     0.067654    0.0047408     0.095417      0.23916 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     109      0.12383    0.0094411     0.088392     0.080622 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      44     0.061574    0.0029878      0.13817      0.32793 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13       0.2735    0.0072196      0.24937      0.13638 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      66     0.068875    0.0040908       0.1112      0.26785 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     120      0.11739    0.0093875     0.078988     0.068633 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68     0.076032    0.0045835      0.11097      0.24662 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     339     0.085921      0.01148     0.063936     0.089504 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      46    0.0071043   0.00035246      0.15047      0.48117 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     200     0.073324    0.0075538     0.064213      0.12676 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     131      0.13663     0.011413     0.076404     0.036872 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98      0.24882     0.017993     0.088871    0.0025599 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      80    -0.027232     -0.00178     0.096555      0.61104 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      96    -0.041467    -0.002968     0.090027      0.67746 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      64     0.038294    0.0022399      0.11081      0.36483 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      47       0.1158    0.0058071      0.13459      0.19479 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      41    -0.020137  -0.00094328      0.15782      0.55076 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      25     -0.30333      -0.0111      0.18985      0.94494 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      40     -0.19286   -0.0089237      0.14967      0.90121 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      42     -0.13921   -0.0066001      0.14375      0.83357 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22     -0.22222   -0.0076294      0.19174      0.87676 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     155   -0.0026867  -0.00024395     0.069702      0.51537 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     110    -0.026148   -0.0020026     0.077897      0.63144 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      52    -0.033349   -0.0017588      0.12457      0.60554 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     168    -0.075194   -0.0071058     0.063436      0.88205 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      33     -0.36192    -0.015214      0.16943      0.98366 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      51      0.15513    0.0081025      0.12899      0.11457 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      64      0.20902     0.012226      0.10944     0.028087 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      54     0.056647    0.0030443      0.11837      0.31613 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      64      0.16351    0.0095639      0.11761     0.082234 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     312    -0.040777   -0.0052309     0.050953      0.78822 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62    -0.087242   -0.0050227      0.11681      0.77242 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68     -0.12077   -0.0072807      0.10772      0.86889 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67     -0.11958   -0.0071557      0.10499      0.87263 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      50     0.068641      0.00355       0.1237      0.28948 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      64     0.099141    0.0057988      0.10805      0.17944 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      84   -0.0035063  -0.00023483     0.091799      0.51523 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      29     0.029133    0.0011481      0.17067      0.43223 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      51    -0.045201   -0.0023609      0.12434      0.64189 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      68    -0.055471    -0.003344      0.11005      0.69289 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40     -0.10911   -0.0050484      0.12939      0.80045 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72    -0.085387   -0.0052962     0.099004      0.80578 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55     0.045062    0.0024439      0.12544      0.35971 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      82   -0.0021037  -0.00013921     0.093839      0.50894 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      53     0.051083    0.0027198      0.11738      0.33171 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      27      0.36927     0.014043      0.18244     0.021488 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      47      0.17648    0.0088497      0.15918       0.1338 Curated_gene_sets:kegg_autoimmune_thyroid_disease
