# MEAN_SAMPLE_SIZE = 24564
# TOTAL_GENES = 17778
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_toll_...          SET      96    -0.097187   -0.0071226     0.099306      0.83612 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      57       0.1732    0.0097917      0.12104      0.07623 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      64     -0.19616    -0.011749      0.12349       0.9439 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      48    -0.032398   -0.0016812      0.12843      0.59958 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     145     0.033952    0.0030538     0.083743      0.34258 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      81      0.14263    0.0096056      0.10942     0.096208 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     127       0.0864    0.0072766     0.089717      0.16777 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET      98    -0.048306   -0.0035767     0.097249      0.69031 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      69     -0.11491   -0.0071449      0.11582      0.83942 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      76     -0.12966   -0.0084597      0.10957      0.88166 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      93     0.081715    0.0058949     0.099041      0.20468 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     103     0.082861    0.0062889     0.095692      0.19328 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
